age,gender,department,education,tenure_years,previous_rating,kpi_met,trainings_attended,avg_training_score,awards_won,job_level,region,recruitment_channel,work_type,language_count,multilingual,international_hire,is_promoted
50,M,Operations,Master's,5.438794161964443,4,60,7,75.80238620063186,0,4,South,Referral,Full-Time,1,1,0,0
36,F,Sales,Bachelor's,1.6634004029481018,1,42,0,53.5793698206991,0,3,South,Direct,Part-Time Day,1,1,0,0
29,M,HR,Bachelor's,0.7510377982525023,4,83,0,83.26767460117262,1,1,West,Agency,Full-Time,3,0,0,1
42,M,Operations,Bachelor's,0.27064779813691814,4,67,0,71.95024497373714,1,2,North,Direct,Full-Time,2,1,0,1
40,F,Sales,Master's,1.6172592484719823,1,64,0,92.00184466977305,1,2,North,Agency,Full-Time,2,0,1,0
44,F,Finance,Bachelor's,2.8867923446199537,3,83,5,67.39761280108398,0,1,East,Direct,Full-Time,1,0,0,1
32,M,Technology,Master's,3.284258619769796,5,45,3,68.8681116056068,0,4,West,Direct,Full-Time,3,1,0,1
32,F,Sales,Bachelor's,9.869256071962461,3,81,3,67.51444320482646,0,3,South,Direct,Part-Time Day,1,0,0,0
45,F,Technology,Master's,0.49868829824490635,3,69,2,88.77502219588114,0,1,West,Agency,Full-Time,1,0,1,0
57,M,Finance,High School,12.757981405205967,3,71,3,80.27259781753322,1,1,East,Referral,Part-Time Day,2,1,1,1
45,M,Sales,Bachelor's,3.1898154791414335,3,61,2,59.032907303480954,2,3,North,Agency,Full-Time,2,0,0,0
24,M,HR,Bachelor's,1.8166677326113856,1,97,0,100.0,1,3,East,Referral,Part-Time Day,1,0,0,0
43,M,Operations,High School,6.57297621732179,3,77,0,60.37829470490218,0,3,East,Referral,Part-Time Night,2,1,0,0
23,F,Sales,Bachelor's,3.557217574352345,3,53,1,62.122982955668505,0,2,East,Referral,Full-Time,1,0,0,1
45,F,Finance,Master's,1.286434035934331,4,73,3,84.45718810586989,0,5,East,Referral,Full-Time,1,1,1,0
51,M,Sales,PhD,6.46471237345876,3,82,3,67.59173075168867,1,3,North,Referral,Full-Time,2,0,0,0
59,M,Technology,Master's,3.295376012779571,3,86,1,53.827642793046905,0,2,North,Referral,Full-Time,2,1,1,0
23,M,Sales,Bachelor's,3.6003144419072832,3,97,3,88.48497030657184,0,2,North,Agency,Full-Time,1,0,0,1
42,F,HR,Bachelor's,6.801361045717825,2,65,2,100.0,0,1,North,Agency,Full-Time,1,0,0,0
54,M,Sales,Bachelor's,1.784884551149724,5,79,3,54.623394260001675,0,5,South,Direct,Full-Time,1,0,1,0
33,F,Operations,High School,3.2092358892855097,4,93,2,88.36688259259085,0,2,West,Referral,Full-Time,2,1,0,1
43,M,Sales,Master's,4.095818861546263,3,52,2,62.58662579359826,0,3,South,Agency,Full-Time,3,0,0,0
46,M,Technology,Bachelor's,1.8150795768592736,3,69,2,38.7704323088482,0,3,East,Agency,Full-Time,2,1,1,0
48,M,Sales,PhD,0.2614228985724395,4,58,2,79.77691486919498,1,1,East,Agency,Full-Time,2,0,1,1
49,F,HR,Bachelor's,4.4278665323923345,3,81,2,41.92814791525808,0,1,East,Agency,Full-Time,1,1,0,1
37,F,Finance,Master's,0.14699206803812864,2,80,1,59.047232496484426,2,3,East,Direct,Full-Time,3,0,0,1
36,F,Sales,High School,3.7966341423380285,3,89,1,65.8746193924058,1,4,South,Agency,Full-Time,1,0,0,0
24,M,Sales,Master's,7.253153219810532,5,78,0,69.50637271827651,0,3,North,Direct,Part-Time Day,1,1,0,1
58,F,Operations,Bachelor's,1.2783920254076562,3,42,2,86.3973585145597,0,2,East,Referral,Full-Time,1,1,1,0
28,F,HR,Master's,0.3229620482873421,3,70,2,60.79968634238527,1,1,South,Direct,Full-Time,1,1,1,0
42,M,Finance,Master's,0.7952734974414836,1,51,1,90.93680079121205,0,4,South,Agency,Full-Time,3,0,1,0
30,M,Technology,Bachelor's,2.478538247355451,2,54,1,68.62739706332603,1,2,East,Referral,Part-Time Night,1,1,1,0
39,F,Sales,Bachelor's,8.576257015050317,4,93,0,53.70701995048501,0,1,East,Direct,Full-Time,2,0,0,1
25,F,Finance,Bachelor's,2.1540582166385907,3,92,2,78.91401636206768,0,1,South,Direct,Full-Time,1,1,0,1
46,F,Technology,Bachelor's,0.3588424810910488,5,84,1,97.0021610119574,0,5,West,Direct,Part-Time Night,1,0,0,0
35,F,HR,Bachelor's,2.9648361844670283,3,77,3,63.091629573148616,0,3,South,Agency,Full-Time,2,0,0,0
30,M,HR,Bachelor's,3.9597780841934815,3,79,1,54.33903812037167,0,1,West,Referral,Full-Time,2,1,0,0
